date,negative,neutral,positive
2010-03-18,15,129,42
2010-03-19,14,101,43
2010-03-20,0,11,0
2010-03-21,0,108,2
2010-03-22,1,185,48
2010-03-23,7,169,53
2010-03-24,13,101,70
2010-03-25,2,199,99
2010-03-26,4,112,31
2010-03-27,0,2,0
2010-03-28,0,9,0
2010-03-29,5,232,57
2010-03-30,6,109,58
2010-03-31,13,123,52
2010-04-01,3,205,29
2010-04-02,0,35,13
2010-04-03,0,9,0
2010-04-04,1,14,5
2010-04-05,11,146,79
2010-04-06,14,120,65
2010-04-07,14,121,40
2010-04-08,36,135,32
2010-04-09,4,108,27
2010-04-10,5,1,0
2010-04-11,0,6,7
2010-04-12,15,92,41
2010-04-13,8,137,52
2010-04-14,11,135,58
2010-04-15,8,119,27
2010-04-16,4,74,38
2010-04-17,0,8,8
2010-04-18,0,4,0
2010-04-19,27,121,42
2010-04-20,13,115,66
2010-04-21,21,133,62
2010-04-22,9,121,48
2010-04-23,12,128,66
2010-04-24,1,9,0
2010-04-25,0,1,1
2010-04-26,1,154,43
2010-04-27,10,143,36
2010-04-28,6,110,55
2010-04-29,5,122,48
2010-04-30,7,107,40
2010-05-01,0,5,0
2010-05-02,1,13,13
2010-05-03,28,118,47
2010-05-04,25,160,36
2010-05-05,6,135,54
2010-05-06,15,160,52
2010-05-07,8,116,29
2010-05-08,3,4,2
2010-05-09,0,9,0
2010-05-10,4,156,54
2010-05-11,41,444,141
2010-05-12,19,197,59
2010-05-13,8,184,34
2010-05-14,16,169,57
2010-05-15,0,6,4
2010-05-16,1,6,1
2010-05-17,13,220,68
2010-05-18,13,184,63
2010-05-19,16,182,50
2010-05-20,19,175,55
2010-05-21,2,139,42
2010-05-22,0,2,4
2010-05-23,0,4,2
2010-05-24,15,175,50
2010-05-25,25,149,55
2010-05-26,27,188,49
2010-05-27,21,153,57
2010-05-28,19,115,51
2010-05-29,0,6,1
2010-05-30,0,9,1
2010-05-31,1,38,0
2010-06-01,15,172,72
2010-06-02,14,173,63
2010-06-03,18,144,66
2010-06-04,18,138,53
2010-06-05,1,13,2
2010-06-06,0,5,2
2010-06-07,17,138,49
2010-06-08,26,169,61
2010-06-09,9,180,61
2010-06-10,7,148,50
2010-06-11,10,96,33
2010-06-12,0,16,0
2010-06-13,1,21,10
2010-06-14,13,140,58
2010-06-15,14,114,55
2010-06-16,14,135,36
2010-06-17,11,167,48
2010-06-18,5,134,40
2010-06-19,8,17,0
2010-06-20,0,17,2
2010-06-21,21,134,44
2010-06-22,12,144,45
2010-06-23,16,120,52
2010-06-24,5,157,73
2010-06-25,18,91,35
2010-06-26,11,6,3
2010-06-27,0,10,4
2010-06-28,28,159,70
2010-06-29,9,108,46
2010-06-30,19,128,40
2010-07-01,9,124,33
2010-07-02,8,99,34
2010-07-03,0,3,6
2010-07-04,0,4,2
2010-07-05,0,5,2
2010-07-06,7,154,38
2010-07-07,6,142,48
2010-07-08,7,154,42
2010-07-09,13,86,53
2010-07-10,0,2,0
2010-07-11,0,15,4
2010-07-12,16,141,59
2010-07-13,16,165,66
2010-07-14,12,151,51
2010-07-15,15,156,61
2010-07-16,6,140,37
2010-07-17,2,2,0
2010-07-18,13,19,6
2010-07-19,20,196,52
2010-07-20,19,211,67
2010-07-21,24,167,67
2010-07-22,21,203,70
2010-07-23,6,129,49
2010-07-24,0,21,3
2010-07-25,0,36,10
2010-07-26,11,163,61
2010-07-27,15,208,65
2010-07-28,32,189,67
2010-07-29,22,189,62
2010-07-30,6,183,64
2010-07-31,5,9,2
2010-08-01,0,7,1
2010-08-02,5,248,80
2010-08-03,33,293,50
2010-08-04,30,348,69
2010-08-05,39,281,75
2010-08-06,22,199,53
2010-08-07,0,3,1
2010-08-08,0,11,6
2010-08-09,25,252,76
2010-08-10,21,169,45
2010-08-11,24,211,70
2010-08-12,19,227,84
2010-08-13,25,167,61
2010-08-14,0,2,0
2010-08-15,0,13,7
2010-08-16,17,224,80
2010-08-17,40,364,85
2010-08-18,41,328,55
2010-08-19,28,279,84
2010-08-20,22,189,56
2010-08-21,12,1,4
2010-08-22,0,29,5
2010-08-23,20,202,82
2010-08-24,23,160,58
2010-08-25,14,204,79
2010-08-26,21,228,76
2010-08-27,13,186,54
2010-08-28,0,2,2
2010-08-29,8,16,3
2010-08-30,17,241,79
2010-08-31,20,264,114
2010-09-01,21,268,71
2010-09-02,27,282,56
2010-09-03,15,236,59
2010-09-04,0,6,1
2010-09-05,0,3,1
2010-09-06,2,18,0
2010-09-07,22,365,84
2010-09-08,25,376,91
2010-09-09,18,297,65
2010-09-10,18,293,86
2010-09-11,0,9,1
2010-09-12,5,8,2
2010-09-13,30,302,62
2010-09-14,19,301,111
2010-09-15,23,252,84
2010-09-16,27,314,92
2010-09-17,19,264,60
2010-09-18,0,7,0
2010-09-19,7,25,2
2010-09-20,24,278,73
2010-09-21,27,370,63
2010-09-22,20,304,89
2010-09-23,29,242,84
2010-09-24,22,212,65
2010-09-25,0,12,4
2010-09-26,9,8,2
2010-09-27,19,223,100
2010-09-28,28,222,76
2010-09-29,24,214,84
2010-09-30,21,228,90
2010-10-01,4,212,53
2010-10-02,3,6,3
2010-10-03,1,5,2
2010-10-04,21,289,69
2010-10-05,11,266,80
2010-10-06,26,315,74
2010-10-07,31,268,74
2010-10-08,13,218,36
2010-10-09,0,0,1
2010-10-10,3,10,0
2010-10-11,21,220,84
2010-10-12,12,215,94
2010-10-13,13,243,64
2010-10-14,10,243,74
2010-10-15,20,175,49
2010-10-16,0,1,0
2010-10-17,2,15,0
2010-10-18,34,370,80
2010-10-19,42,395,87
2010-10-20,55,327,89
2010-10-21,23,335,119
2010-10-22,17,250,79
2010-10-23,0,1,0
2010-10-24,5,7,1
2010-10-25,21,360,95
2010-10-26,27,346,99
2010-10-27,29,521,100
2010-10-28,33,423,126
2010-10-29,39,292,86
2010-10-31,0,18,1
