date,avg_sentiment,daily_return
2009-04-27,0.0,-0.015865477498265945
2009-04-29,0.0,-0.031674719273689034
2009-05-22,0.0,-0.0042127519787077405
2009-05-27,0.2340909090909091,-0.016456204007706865
2009-05-29,0.06818181818181818,0.004378611780549324
2009-06-01,0.0,0.06488018113331573
2009-06-02,0.0,0.02263693178007875
2009-06-05,0.08333333333333333,0.023854012892445597
2009-06-08,0.21818181818181817,-0.013704875687413964
2009-06-09,0.0,0.00833725176141531
2009-06-15,0.0,-0.010704109499233616
2009-06-16,0.7333333333333334,-0.012382746955849289
2009-06-19,0.0,0.016666627709381876
2009-06-22,1.0,-0.04592569754681752
2009-06-30,0.325,0.007587585442173195
2009-07-07,0.0,-0.03162608737647188
2009-07-08,0.0,0.022874501418941984
2009-07-10,0.0,-0.006017916988450334
2009-07-14,0.0,0.00589166321051926
2009-07-15,0.0,0.031726691710073585
2009-07-16,0.0,0.01845063734320207
2009-07-17,0.0,-0.0030193964352449587
2009-07-21,0.22857142857142862,0.008840538260142639
2009-07-24,0.0,-0.07861935756670513
2009-07-27,0.041490299823633156,-0.026014611758961803
2009-07-30,0.0,0.02074937045509273
2009-08-03,0.25,0.019589577549866677
2009-08-04,-0.08571428571428572,-0.018755775733417912
2009-08-06,0.023760932944606416,0.0021354430252280565
2009-08-07,0.07361481944556478,0.010062749221801948
2009-08-10,0.07145897981074972,-0.010314035175963632
2009-08-11,0.11328914141414141,-0.010421636073193019
2009-08-12,0.042135676040751226,0.02872184928818533
2009-08-13,0.08783723231879914,-0.01582127548063983
2009-08-17,0.12082858421466017,-0.030150737140743344
2009-08-18,0.11666666666666665,0.013076726781718673
2009-08-19,0.06666666666666667,0.010716061701289137
2009-08-21,0.11607142857142858,0.010821690923797256
2009-08-24,-0.009764309764309757,-0.005882375380572125
2009-08-25,0.039930792891319206,-0.00366865538802863
2009-08-26,0.06621212121212121,-0.0022568065264447768
2009-08-27,0.10115384615384615,0.003690492706775572
2009-08-28,-0.12052380952380952,-0.01838450213018583
2009-08-31,-0.003789983164983167,-0.018970467324612827
2009-09-01,-0.006083654000320671,-0.025003145045997544
2009-09-02,0.06647241647241647,-0.012885265424396275
2009-09-03,0.04574074074074074,0.004095221950179528
2009-09-04,0.0702,0.0052255784294095164
2009-09-08,0.06645250827603769,0.025738565551475245
2009-09-09,0.0029143475572046998,0.016563636835168705
2009-09-10,0.05383766233766234,0.019576878917570317
2009-09-11,0.026949598021026592,0.008229009213733596
2009-09-14,0.060927305845338633,-0.008043623095838504
2009-09-15,0.06309577652861235,-0.003696653769811209
2009-09-16,0.12268257575757575,0.08557752145567576
2009-09-17,0.04654829545454545,-0.00286659578423365
2009-09-18,0.07385732323232323,-0.001769105991455966
2009-09-21,0.08819109461966605,0.00310144863848949
2009-09-22,0.12844155844155844,0.03522529292629728
2009-09-23,0.10443646996278574,-0.014613342285156206
2009-09-24,0.07998106060606061,-0.0029226535848729807
2009-09-25,0.005480895915678524,-0.017262011626315354
2009-09-28,0.03068764568764569,0.01866987086626115
2009-09-29,0.11577060931899642,-0.005313934267108911
2009-09-30,0.13530776515151516,0.017880561752855906
2009-10-01,0.024132231404958678,-0.024850079258340485
2009-10-02,0.102,-0.013071225140463771
2009-10-05,0.09905560231949122,-0.013133003341840532
2009-10-06,0.03728911135161135,0.025262206671461396
2009-10-07,0.052842712842712844,0.03365974292019258
2009-10-08,0.10995714285714285,0.013302117254339496
2009-10-09,0.12956228956228955,0.005145955132038527
2009-10-12,0.08844251336898397,-0.022045809248598114
2009-10-13,0.15631794131794133,0.013141041610055026
2009-10-14,0.22184684684684686,0.027733891572568004
2009-10-15,0.10030388207471541,-0.014877945151888228
2009-10-16,0.056363636363636366,-0.0071867769343716414
2009-10-19,0.033952922077922075,-0.006714139613043568
2009-10-20,0.05586115391200137,0.0031685394661800093
2009-10-21,0.07848581973581974,-0.01642452463131472
2009-10-22,0.07622119633838384,0.00032115814568234313
2009-10-23,0.13872256681958176,0.2679507371356278
2009-10-26,0.07748785120108649,0.05190309497055723
2009-10-27,0.0311763468013468,-0.02061938179346634
2009-10-28,0.03630494130494131,-0.0035225872066700914
2009-10-29,0.14429699537750384,0.007727788537060132
2009-10-30,0.10998840254395809,-0.0307554900651148
2009-11-02,0.039314296814296816,0.0002525258403527353
2009-11-03,0.038103609353609354,-0.003954891621460677
2009-11-04,0.07465909090909091,-0.010729057716270196
2009-11-05,0.07195385092581354,0.02997436643978557
2009-11-06,0.09135802469135802,0.04634773412404258
2009-11-09,0.12371129970139871,0.0037242418194656235
2009-11-10,0.042760007482229696,0.02747300319402224
2009-11-11,0.07365530303030303,-0.0018440389714621253
2009-11-12,0.13886285776573545,0.0047725559095321834
2009-11-13,0.08723601999375197,0.0186929803713185
2009-11-16,0.07912953060011885,-0.010378245868959302
2009-11-17,0.08721955580651232,-0.002583813033166904
2009-11-18,0.09709942834942836,0.00030473981584822063
2009-11-19,0.07745238646002005,-0.01751843608159198
2009-11-20,0.08828731762065095,0.005194157264360122
2009-11-23,0.112313868164932,0.02575972525705672
2009-11-24,0.10584637964774951,-0.0004511668205093855
2009-11-25,0.10553636363636362,0.008199203301001656
2009-11-27,0.11386980267794221,-0.017085734062403546
2009-11-30,0.10314009807065362,0.0316532430284191
2009-12-01,0.12223373975667554,0.01905678653216203
2009-12-02,0.11493775624728006,0.027075811528620708
2009-12-03,0.10280211931727085,-0.007592320029090938
2009-12-04,0.08883253876924763,-0.02543027993385283
2009-12-07,0.1617727407168401,-0.024494900254805274
