date,avg_sentiment,daily_return,rolling_corr
2009-04-27,0.0,-0.035870523485220684,
2009-04-29,0.0,-0.015384578870806465,
2009-05-22,0.0,0.015511877535200558,
2009-05-27,0.2340909090909091,0.001932342333615944,
2009-05-29,0.06818181818181818,-0.007611813720002414,
2009-06-01,0.0,0.0488974112039362,
2009-06-02,0.0,-0.008226639746143238,
2009-06-05,0.08333333333333333,-0.005509680473124057,
2009-06-08,0.21818181818181817,-0.005540095160498915,
2009-06-09,0.0,0.05478181435206775,
2009-06-15,0.0,-0.016507430953898172,
2009-06-16,0.7333333333333334,-0.02738517575577848,
2009-06-19,0.0,0.010849985988057531,
2009-06-22,1.0,-0.05635069879246757,
2009-06-30,0.325,-0.024200517246762088,
2009-07-07,0.0,-0.04360190151820664,
2009-07-08,0.0,0.0019822532919904212,
2009-07-10,0.0,0.003872167019486339,
2009-07-14,0.0,0.020972311398748777,
2009-07-15,0.0,0.04108312827888194,
2009-07-16,0.0,0.0520179085494763,
2009-07-17,0.0,0.028985541122276803,
2009-07-21,0.22857142857142862,-0.020458245580695866,
2009-07-24,0.0,-0.0030768835756184165,
2009-07-27,0.041490299823633156,0.004629661993834189,
2009-07-30,0.0,0.007824718689861898,
2009-08-03,0.25,0.027068806717761573,
2009-08-04,-0.08571428571428572,0.006777156088143332,
2009-08-06,0.023760932944606416,-0.020895519732472834,
2009-08-07,0.07361481944556478,0.044969522583163224,-0.4743658800301534
2009-08-10,0.07145897981074972,-0.032822811527077,-0.49349607329173706
2009-08-11,0.11328914141414141,-0.023378596304296173,-0.5026658944497219
2009-08-12,0.042135676040751226,0.037065713409628165,-0.498685490565504
2009-08-13,0.08783723231879914,0.02978403591510337,-0.496356526475006
2009-08-17,0.12082858421466017,-0.04172875853918678,-0.48337262177239576
2009-08-18,0.11666666666666665,0.03654738013024028,-0.46749426474661754
2009-08-19,0.06666666666666667,-0.01125280293871922,-0.4714758483284018
2009-08-21,0.11607142857142858,0.016788322501675612,-0.47214441275207125
2009-08-24,-0.009764309764309757,-0.02799715301175454,-0.44019311611499035
2009-08-25,0.039930792891319206,0.008862691409491141,-0.43712626845321645
2009-08-26,0.06621212121212121,0.011712966732493557,-0.45401687622938736
2009-08-27,0.10115384615384615,0.01374822997490921,-0.42112772807612714
2009-08-28,-0.12052380952380952,0.05139188117531335,-0.45185700993655104
2009-08-31,-0.003789983164983167,-0.014256637440294151,-0.23215652483053362
2009-09-01,-0.006083654000320671,-0.0337465730408526,-0.10598776011438948
2009-09-02,0.06647241647241647,0.01425515393250043,-0.1486766109681893
2009-09-03,0.04574074074074074,0.023893211261231784,-0.1541757033349802
2009-09-04,0.0702,0.03706247041245114,-0.1467552307084006
2009-09-08,0.06645250827603769,0.027796118510914347,-0.13289967082399892
2009-09-09,0.0029143475572046998,0.027688334560991956,-0.12223143673491967
2009-09-10,0.05383766233766234,0.03195488749884423,-0.08648859858824313
2009-09-11,0.026949598021026592,-0.009107459686160446,-0.05816958956048188
2009-09-14,0.060927305845338633,-0.016544087569743127,0.02897459914200293
2009-09-15,0.06309577652861235,0.020560742665694853,0.021034881479389145
2009-09-16,0.12268257575757575,-0.026862044723133027,-0.02670513948206707
2009-09-17,0.04654829545454545,-0.04391463866908596,-0.015725131493415607
2009-09-18,0.07385732323232323,-0.0013123972416346774,-0.11722311263359823
2009-09-21,0.08819109461966605,-0.004599191648206324,-0.1302144546157591
2009-09-22,0.12844155844155844,0.001980211887235628,-0.15442827258663702
2009-09-23,0.10443646996278574,-0.015810308650754057,-0.19258219739557395
2009-09-24,0.07998106060606061,-0.0133868684660301,-0.19560805115330213
2009-09-25,0.005480895915678524,-0.016282177612462867,-0.1324047012299837
2009-09-28,0.03068764568764569,0.022758614679579514,-0.13474081930572446
2009-09-29,0.11577060931899642,-0.01820638495548277,-0.1863842509481707
2009-09-30,0.13530776515151516,0.032280255150459514,-0.056805403989633574
2009-10-01,0.024132231404958678,-0.07119094599509923,-0.04262365270352382
2009-10-02,0.102,-0.007879682647115693,-0.04848180913894044
2009-10-05,0.09905560231949122,-0.00505412962499785,-0.07852425061622455
2009-10-06,0.03728911135161135,0.016690857443512952,-0.13739298425162785
2009-10-07,0.052842712842712844,-0.007851561037537702,-0.13301770605362187
2009-10-08,0.10995714285714285,0.0064748654928981075,-0.12600780759964939
2009-10-09,0.12956228956228955,0.012866337419539242,-0.11617859479450986
2009-10-12,0.08844251336898397,-0.01129148327477747,0.15053368843816445
2009-10-13,0.15631794131794133,-0.00356887591002375,0.1095893842324438
2009-10-14,0.22184684684684686,-0.0014326462830742681,0.012862612406721824
2009-10-15,0.10030388207471541,-0.029411769736234383,0.0024287296987683667
2009-10-16,0.056363636363636366,-0.022912059935574103,0.046257876942387234
2009-10-19,0.033952922077922075,0.036308605972728,0.0037194879444266494
2009-10-20,0.05586115391200137,0.0007299611142776996,0.013960418246021095
2009-10-21,0.07848581973581974,-0.024070015412864798,0.09984015146286584
2009-10-22,0.07622119633838384,0.00672641504895144,0.1400833104323632
2009-10-23,0.13872256681958176,-0.023756455510464902,0.1034827075259764
2009-10-26,0.07748785120108649,-0.012927816285347893,0.09747655328493643
2009-10-27,0.0311763468013468,-0.0338983284340888,0.1683844541410965
2009-10-28,0.03630494130494131,-0.04146724776919852,0.23685570415710308
2009-10-29,0.14429699537750384,0.04409315501660349,0.2734732125599668
2009-10-30,0.10998840254395809,-0.047011964528254846,0.2365897268026026
2009-11-02,0.039314296814296816,0.009197355666802354,0.20777656563392116
